ID,Gender,Register Date,Post,Forward Post,Original Post,Video,Pics,Avatar,Level,Active Days,经验值,Follow,Follower,Offline Friends,Offline Stranger,Tags,Badges,Album,Photo,Slogan,Collect Date,Collect minus Register,Register Days,Demographics,Ed and Pro,Extro3,Extro2,Extro,Neuro3,Neuro2,Neuro,Open3,Open2,Open,Agree3,Agree2,Agree,Consc3,Consc2,Consc
180,1,3/31/2012,979,592,387,110,491,4,8,682,0,222,23,0,0,1,3,2,78,1,4/12/2014,742,751,2,2,3,2,48,1,1,24,3,2,47,1,1,36,2,2,44
28,0,2/15/2011,15,9,6,1,13,3,9,892,0,308,61,0,0,0,4,0,17,1,3/11/2014,1120,1161,3,0,3,2,47,3,2,41,1,1,34,1,1,38,2,2,44
151,0,7/13/2012,240,221,19,30,198,2,7,493,0,232,133,0,0,0,1,0,8,0,3/23/2014,618,647,1,0,2,2,42,1,1,30,3,2,46,1,1,38,2,2,44
84,0,10/8/2010,2,0,0,0,0,2,9,963,0,97,544,0,0,1,0,0,0,1,3/19/2014,1258,1291,4,2,2,1,39,3,2,41,3,2,49,1,1,38,2,2,44
89,0,6/16/2010,2617,1976,641,46,1347,6,8,566,0,478,210,0,0,7,11,0,88,1,3/20/2014,1373,1405,3,0,1,1,32,3,2,38,1,1,39,2,1,40,2,2,44
224,0,7/11/2010,51,36,15,4,36,5,10,1190,0,54,92,0,0,5,6,2,5,1,4/12/2014,1371,1380,2,0,2,2,42,1,1,30,1,1,35,2,1,41,2,2,44
27,0,6/13/2011,512,357,155,28,367,3,8,666,0,270,183,0,0,3,2,0,44,1,3/11/2014,1002,1043,2,2,2,2,42,2,1,34,2,2,43,2,1,41,2,2,44
85,0,1/6/2011,214,131,83,2,134,2,8,731,0,146,36,0,0,3,0,0,25,0,3/19/2014,1168,1201,3,0,1,1,34,1,1,29,3,2,45,2,1,41,2,2,44
120,0,8/19/2010,573,397,176,50,401,5,6,241,0,241,2267,0,0,3,11,0,95,1,3/21/2014,1310,1341,3,0,3,2,45,1,1,30,3,2,45,2,1,41,2,2,44
115,0,4/9/2010,1740,1586,154,89,1105,7,9,805,0,207,110,0,0,1,7,0,46,0,3/20/2014,1441,1473,3,0,1,1,34,3,2,41,2,1,41,2,2,42,2,2,44
186,0,10/7/2011,161,139,22,11,150,1,5,187,0,33,38,0,0,10,4,2,15,1,4/12/2014,918,927,3,2,3,2,45,1,1,26,3,2,44,3,2,45,2,2,44
167,0,7/12/2010,1379,934,445,32,889,1,9,868,0,872,298,0,0,5,5,2,91,1,4/12/2014,1370,1379,3,0,2,2,42,3,2,43,3,2,48,3,2,47,2,2,44
191,0,11/1/2010,498,61,437,2,344,3,10,1172,0,167,450,0,0,8,0,2,307,1,4/12/2014,1258,1267,3,2,3,2,50,1,1,28,2,1,41,3,2,52,2,2,44
192,0,4/13/2012,11,1,10,1,9,0,2,27,0,132,29,0,0,5,1,1,18,0,4/12/2014,729,738,3,0,1,1,36,3,2,42,1,1,34,1,1,34,2,2,45
61,1,7/3/2011,161,97,64,6,108,2,4,124,0,130,62,0,0,4,1,0,28,1,3/19/2014,990,1023,2,0,1,1,36,2,1,33,1,1,38,1,1,37,2,2,45
162,0,4/15/2010,1,0,1,0,0,0,0,1,0,29,3,0,0,0,0,0,0,0,4/11/2014,1457,1467,2,0,1,1,34,3,2,43,2,2,43,1,1,38,2,2,45
230,0,3/5/2012,136,38,98,4,30,2,3,71,0,99,90,0,0,3,3,2,9,1,4/12/2014,768,777,3,0,2,2,40,2,1,33,2,2,42,2,1,40,2,2,45
202,0,10/4/2011,282,209,73,16,218,2,7,453,0,92,138,0,0,0,9,2,33,1,4/12/2014,921,930,3,0,1,1,36,2,1,33,3,2,45,2,1,40,3,2,45
203,0,5/26/2011,54,37,17,0,44,1,3,35,0,157,45,0,0,0,2,2,8,1,4/12/2014,1052,1061,3,3,3,2,45,3,2,41,2,2,43,2,1,41,3,2,45
233,1,7/14/2010,136,67,69,16,99,0,5,159,0,82,70,0,0,0,3,3,75,1,4/12/2014,1368,1377,3,2,1,1,36,2,1,33,2,2,42,2,2,42,3,2,45
124,0,6/4/2011,34,11,23,2,29,1,2,31,0,34,76,0,0,5,1,0,5,0,3/20/2014,1020,1052,2,1,1,1,36,2,1,33,3,2,46,2,2,43,3,2,45
114,1,9/19/2011,39,24,15,1,25,1,3,50,0,104,35,0,0,3,1,0,3,0,3/20/2014,913,945,3,0,2,1,39,1,1,21,1,1,38,3,2,52,3,2,45
